branch_name,branch_code,ukprn,jnches,notes
"Aberdeen, The University of",SC001,10007783,yes,
Abertay University,SC002,10007849,yes,
Aberystwyth University,WA002,10007856,yes,
Anglia Ruskin University,LE002,10000291,yes,
Arts University Bournemouth,SO009,10000385,yes,
Aston University,MD002,10007759,yes,
Bangor University,WA006,10007857,yes,
Bath Spa University,SO017,10000571,yes,
"Bath, University of",SO041,10007850,yes,
"Bedfordshire, University of",LE296,10007152,yes,
"Birkbeck, University of London",LE176,10007760,yes,
Birmingham Newman University,MD108,10007832,yes,
"Birmingham, The University of",MD020,10006840,yes,
Lincoln Bishop University,MD009,10007811,yes,formerly Bishop Grosseteste University
Bournemouth University,SO024,10000824,yes,
"Bradford, University of",NE018,10007785,yes,
"Brighton, University of",SO228,10000886,yes,
"Bristol, University of",SO042,10007786,yes,
Brunel University London,LE034,10000961,yes,
Buckinghamshire New University,SO040,10000975,yes,
"Cambridge, University of",LE070,10007788,yes,
Canterbury Christ Church University,SO046,10001143,yes,
Cardiff Metropolitan University,WA076,10007854,yes,
Cardiff University,WA042,10007814,yes,
"Chester, University of",NW019,10007848,yes,
"Chichester, University of",SO230,10007137,yes,
"City St George's, University of London",LE071,10001478,yes,City merged with St George's; UKPRN is former City University
Courtauld Institute of Art,LE426,10007761,yes,
Coventry University,MD039,10001726,yes,
"Cumbria, University of",NE195,10007842,yes,
De Montfort University,MD054,10001883,yes,
"Derby, University of",MD170,10007851,yes,
"Dundee, The University of",SC003,10007852,yes,
Durham University,NE049,10007143,yes,
"East Anglia, University of",LE089,10007789,yes,
"East London, University of",LE417,10007144,yes,
Edge Hill University,NW028,10007823,yes,
Edinburgh Napier University,SC009,10007772,yes,
"Edinburgh, University of",SC004,10007790,yes,
"Essex, University of",LE090,10007791,yes,
"Exeter, University of",SO097,10007792,yes,
Falmouth University,SO247,10008640,yes,
Glasgow Caledonian University,SC006,10007762,yes,
Glasgow School of Art,SC007,10002681,yes,
"Glasgow, University of",SC005,10007794,yes,
"Gloucestershire, University of",SO232,10007145,yes,
"Goldsmiths, University of London",LE097,10002718,yes,
"Greater Manchester, University of",NW013,10006841,yes,formerly University of Bolton
"Greenwich, University of",LE287,10007146,yes,
Harper Adams University,MD072,10040812,yes,
Heriot-Watt University,SC008,10007764,yes,
"Hertfordshire, University of",LE317,10007147,yes,
"Huddersfield, The University of",NE159,10007148,yes,
"Hull, The University of",NE079,10007149,yes,
Keele University,MD077,10007767,yes,
"Kent, The University of",SO133,10007150,yes,
King's College London,LE130,10003645,yes,
