ukprn,provider_name,academic_year,country,region,surplus_vs_income,staff_vs_income,unrestricted_vs_income,net_liquidity_days,external_borrowing_vs_income,current_ratio,debt_service_ratio,avg_salary,academic_salary,vc_avg_salary,vc_avg_remunerate,data_source
10000163,Health Sciences University,2017/18,England,South West,5.4,61.4,67.5,175,0.0,4.0,,,,,,HESA table-14
10000163,Health Sciences University,2018/19,England,South West,-2.9,69.6,64.4,168,0.0,4.3,,,,,,HESA table-14
10000163,Health Sciences University,2019/20,England,South West,6.7,61.2,54.0,203,0.0,3.5,,,,,,HESA table-14
10000163,Health Sciences University,2020/21,England,South West,11.0,59.0,63.6,249,0.0,3.3,26.4,,,,,HESA table-14
10000163,Health Sciences University,2021/22,England,South West,11.4,57.3,88.4,256,0.0,2.9,26.2,,,,,HESA table-14
10000163,Health Sciences University,2022/23,England,South West,5.1,61.1,84.9,199,0.0,2.5,16.7,,,,,HESA table-14
10000163,Health Sciences University,2023/24,England,South West,-1.6,65.4,77.4,143,0.0,2.1,-13.0,,,,,HESA table-14
10000163,Health Sciences University,2024/25,England,South West,6.9,56.0,52.1,136,0.0,1.3,-4.9,,,,,HESA table-14
10000216,All Nations Christian College Limited,2019/20,England,East of England,-16.2,63.6,137.6,223,1.2,4.6,,,,,,HESA table-14
10000216,All Nations Christian College Limited,2020/21,England,East of England,9.0,49.7,119.6,232,0.1,7.1,0.0,,,,,HESA table-14
10000216,All Nations Christian College Limited,2021/22,England,East of England,26.3,40.1,113.9,225,0.1,6.8,0.0,,,,,HESA table-14
10000216,All Nations Christian College Limited,2022/23,England,East of England,1.2,55.6,136.1,180,0.1,8.5,0.0,,,,,HESA table-14
10000216,All Nations Christian College Limited,2023/24,England,East of England,-33.4,71.2,142.0,218,0.1,4.7,0.0,,,,,HESA table-14
10000216,All Nations Christian College Limited,2024/25,England,East of England,-9.5,55.1,110.2,238,0.1,4.5,0.0,,,,,HESA table-14
10000248,Academy of Live and Recorded Arts,2019/20,England,London,0.4,45.7,1.5,86,0.0,1.0,,,,,,HESA table-14
10000248,Academy of Live and Recorded Arts,2020/21,England,London,1.0,47.6,2.4,114,0.0,1.0,0.0,,,,,HESA table-14
10000291,Anglia Ruskin University,2015/16,England,East of England,2.6,49.1,12.4,116,44.7,1.3,,,,,,HESA table-14
10000291,Anglia Ruskin University,2016/17,England,East of England,3.5,49.7,11.1,87,40.5,1.2,,37.796,,6.8,6.633,HESA table-14
10000291,Anglia Ruskin University,2017/18,England,East of England,1.0,53.4,24.3,81,40.0,1.1,,39.743,49.402,6.567,6.233,HESA table-14
10000291,Anglia Ruskin University,2018/19,England,East of England,3.9,52.0,18.3,94,36.7,1.3,,41.621,52.505,9.346,8.169,HESA table-14
10000291,Anglia Ruskin University,2019/20,England,East of England,2.7,49.3,11.9,115,32.4,1.4,,42.409,52.767,6.484,6.162,HESA table-14
10000291,Anglia Ruskin University,2020/21,England,East of England,-0.5,40.7,15.7,90,26.8,1.2,5.3,42.66,55.333,6.446,6.219,HESA table-14
