constituency_name,region,intl_students_firstyear,gross_benefit,costs,net_benefit,net_benefit_per_resident,region_impact,boundary_note
Aberafan Maesteg,Wales,85,7905128.5,919498.11,6985630.38,80,1258810595.29,pre-2024 boundaries
Aberdeen North,Scotland,1665,179537535.23,20267013.37,159270521.87,1420,4211398343.47,pre-2024 boundaries
Aberdeen South,Scotland,2185,235302149.9,26561976.64,208740173.26,1860,4211398343.47,pre-2024 boundaries
Aberdeenshire North and Moray East,Scotland,340,36767676.69,4150502.53,32617174.15,330,4211398343.47,pre-2024 boundaries
Airdrie and Shotts,Scotland,455,48956463.48,5526428.21,43430035.27,470,4211398343.47,pre-2024 boundaries
Aldershot,South East,305,34880294.13,3314005.43,31566288.7,270,3571691172.66,pre-2024 boundaries
Aldridge-Brownhills,West Midlands,90,10227207.3,946443.47,9280763.84,100,3089054238.61,pre-2024 boundaries
Alloa and Grangemouth,Scotland,400,42990180.45,4852927.05,38137253.4,400,4211398343.47,pre-2024 boundaries
Altrincham and Sale West,North West,180,21651242.12,2112409.58,19538832.54,190,3042886993.32,pre-2024 boundaries
Alyn and Deeside,Wales,130,12365879.58,1438357.76,10927521.82,110,1258810595.29,pre-2024 boundaries
Amber Valley,East Midlands,40,4331164.7,386927.99,3944236.71,40,2527384329.97,pre-2024 boundaries
Angus and Perthshire Glens,Scotland,370,39915531.53,4505846.7,35409684.83,360,4211398343.47,pre-2024 boundaries
Arbroath and Broughty Ferry,Scotland,510,54739731.69,6179269.82,48560461.87,490,4211398343.47,pre-2024 boundaries
"Argyll, Bute and South Lochaber",Scotland,275,29373878.09,3315856.93,26058021.16,290,4211398343.47,pre-2024 boundaries
Arundel and South Downs,South East,70,8023312.21,762301.49,7261010.72,70,3571691172.66,pre-2024 boundaries
Ashfield,East Midlands,90,10324287.95,922328.35,9401959.6,100,2527384329.97,pre-2024 boundaries
Ashford,South East,250,28715012.12,2728236.92,25986775.2,240,3571691172.66,pre-2024 boundaries
Ashton-under-Lyne,North West,285,34991906.45,3413995.28,31577911.18,320,3042886993.32,pre-2024 boundaries
Aylesbury,South East,265,30361902.52,2884709.33,27477193.19,250,3571691172.66,pre-2024 boundaries
"Ayr, Carrick and Cumnock",Scotland,455,48993066.44,5530560.12,43462506.32,480,4211398343.47,pre-2024 boundaries
Banbury,South East,170,19636000.94,1865632.6,17770368.34,170,3571691172.66,pre-2024 boundaries
Bangor Aberconwy,Wales,860,82156871.18,9556212.54,72600658.64,790,1258810595.29,pre-2024 boundaries
Barking,London,1800,199395909.26,24868729.9,174527179.35,1300,9591194979.52,pre-2024 boundaries
Barnsley North,Yorkshire and the Humber,170,17638390.27,1680302.9,15958087.37,150,2934649994.01,pre-2024 boundaries
Barnsley South,Yorkshire and the Humber,185,19156927.18,1824964.74,17331962.44,170,2934649994.01,pre-2024 boundaries
Barrow and Furness,North West,35,4548947.84,443819.39,4105128.45,40,3042886993.32,pre-2024 boundaries
Basildon and Billericay,East of England,255,26467883.99,2672839.62,23795044.37,220,2304881140.55,pre-2024 boundaries
Basingstoke,South East,215,24407760.3,2319001.38,22088758.92,200,3571691172.66,pre-2024 boundaries
Bassetlaw,East Midlands,85,9871026.53,881835.89,8989190.64,90,2527384329.97,pre-2024 boundaries
Bath,South West,1995,240557652.36,21996025.61,218561626.75,2140,2156405285.39,pre-2024 boundaries
Bathgate and Linlithgow,Scotland,340,36694470.76,4142238.72,32552232.04,340,4211398343.47,pre-2024 boundaries
Battersea,London,1160,128844446.27,16069525.93,112774920.34,1030,9591194979.52,pre-2024 boundaries
Beaconsfield,South East,165,18538074.0,1761317.66,16776756.35,170,3571691172.66,pre-2024 boundaries
Beckenham and Penge,London,385,42426511.32,5291449.83,37135061.49,350,9591194979.52,pre-2024 boundaries
Bedford,East of England,560,57994614.32,5856543.09,52138071.23,470,2304881140.55,pre-2024 boundaries
Belfast East,Northern Ireland,550,47762063.29,6274404.45,41487658.84,410,952763278.06,pre-2024 boundaries
Belfast North,Northern Ireland,985,85581440.26,11242658.57,74338781.69,700,952763278.06,pre-2024 boundaries
Belfast South and Mid Down,Northern Ireland,5585,485797795.51,63818261.65,421979533.86,3530,952763278.06,pre-2024 boundaries
